Artista,Album,Genero,Ano,Nome,Duracao,Classificação,Reproducoes,DataAdicao,UltimaReproducao
Madredeus,Ainda,Portuguese Music,1995,Céu Da Mouraria,3:43,,1,20/03/2020 10:44,23/05/2020 17:51
Madredeus,Ainda,Portuguese Music,1995,Miradouro De Santa Catarina,4:10,,1,20/03/2020 10:44,23/05/2020 17:55
Madredeus,Ainda,Portuguese Music,1995,A Cidade E Os Campos,3:34,,1,20/03/2020 10:44,23/05/2020 18:05
Madredeus,Ainda,Portuguese Music,1995,O Tejo,4:13,,1,20/03/2020 10:44,23/05/2020 18:10
Madredeus,Ainda,Portuguese Music,1995,Viagens Interditas,2:54,,1,20/03/2020 10:44,23/05/2020 18:13
Madredeus,Ainda,Portuguese Music,1995,Alfama,3:31,,1,20/03/2020 10:44,23/05/2020 18:16
Madredeus,Ainda,Portuguese Music,1995,Ainda,7:28,,1,20/03/2020 10:44,23/05/2020 18:24
Madredeus,Ainda,Portuguese Music,1995,Maio Maduro Maio,4:13,,1,20/03/2020 10:44,23/05/2020 18:28
Pink Floyd,The Final Cut,Rock Progressivo,1983,The Hero's Return,2:57,,2,20/03/2020 10:44,30/03/2020 11:55
Regina Carter,Reverse Thread,Jazz,2010,Juru Nani / God Be with You,4:08,,2,20/03/2020 10:44,01/04/2020 10:09
Pat Metheny,From This Place,Jazz,2020,Love May Take Awhile,5:57,80,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,Sixty-Six,9:39,60,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,From This Place,4:40,100,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,Everything Explained,6:52,100,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,The Past in Us,6:24,40,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,Pathmaker,8:20,20,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,Same River,6:43,80,1,20/03/2020 09:39,27/03/2020 15:33
Pat Metheny,From This Place,Jazz,2020,You Are,6:13,60,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,Wide and Far,8:27,60,,20/03/2020 09:39,
Pat Metheny,From This Place,Jazz,2020,America Undefined,13:22,100,,20/03/2020 09:39,
Vitor Ramil,Foi No Mês Que Vem,MPB,2013,À Beça,3:44,,,20/03/2020 10:44,
Vitor Ramil,Tambong,MPB,2000,À Beça,3:54,,,20/03/2020 10:44,
Andre Mehmari,Canteiro,Jazz,,À Beira da Canção,2:32,,,20/03/2020 10:44,
Andre Mehmari,Canteiro,Jazz,,À Beira da Canção,4:53,,,20/03/2020 10:44,
Jussara Silveira,Entre o Amor e o Mar,MPB,,À contraluz,4:04,,,20/03/2020 10:44,
Os Mutantes,Millenium,Rock,1999,A' E O 'Z',8:37,,,20/03/2020 10:44,
Rodrigo Leão,O Mundo,Portuguese Music,2006,À espera de Sofia,1:21,,,20/03/2020 10:44,
Madredeus,O Paraíso,Portuguese Music,1997,À Margem,4:46,,,20/03/2020 10:44,
Chico César,Cuzcuz Clã,MPB,1996,À Primeira Vista,4:10,,,20/03/2020 10:44,
Dori Caymmi,Setenta Anos,MPB,2014,À Toa,2:40,,,20/03/2020 10:44,
Egberto Gismonti & Academia De Danças,Sanfona,Jazz,1980,a) En Familia; b) Sanfona; c) Dança Dos Pés; d) Eterna,21:10,,,20/03/2020 10:44,
Titãs,Cabeça Dinossauro,Rock,1986,Aa Uu,3:04,,,20/03/2020 10:44,
Alzira Espíndola,AMME,MPB,1991,Aa Vaa Cama,1:52,,,20/03/2020 10:44,
Genesis,Abacab,Rock,2007,Abacab,6:57,,,20/03/2020 10:44,
Zé Rodrix,Sempre Livre,MPB,1979,Abaixo a Cueca,3:16,,,20/03/2020 10:44,
Cristina Branco,Post Scriptum,Portuguese Music,2000,Abalara,3:21,,,20/03/2020 10:44,
Cristina Branco,Murmurios,Portuguese Music,1999,Abandono,3:18,,,20/03/2020 10:44,
Leila Pinheiro,Alma,MPB,,Abandono,3:37,,,20/03/2020 10:44,
John McLaughlin & The 4th Dimension,The Boston Record,Jazz,2014,Abbaji,6:54,,,20/03/2020 10:44,
Galinha Pintadinha,Galinha Pintadinha Vol. 1,Infantil,2009,Abc,1:53,,,20/03/2020 10:44,
Us3,Say What,Acid Jazz,2007,abc (listen up),5:17,,,20/03/2020 10:44,
Maria Bethânia,A Beira e o Mar,mpb,1984,ABC Do Sertão,2:18,,,20/03/2020 10:44,
Bar Kokhba,Lucifer - Book of Angels Vol. 10,Jazz,2008,Abdiel,3:19,,,20/03/2020 10:44,
Branford Marsalis Quartet,Metamorphosen,Jazz,2009,Abe Vigoda,5:22,,,20/03/2020 10:44,
Mark Guiliana,Family First,Jazz,2015,Abed,6:11,,,20/03/2020 10:44,
Zelia Duncan,Pelo Sabor do Gesto,MPB,2009,Aberto,3:25,,,20/03/2020 10:44,
Zelia Duncan,Pelo Sabor do Gesto / Em Cena,MPB,2011,Aberto,3:35,,,20/03/2020 10:44,
